station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Honor Oak Park,Canada Water,-483,-454,308
East India,Bank and Monument,-482,-636,-694
Canning Town,Bond Street,-482,-583,-685
Baker Street,Moorgate,-480,-548,-578
Clapham Common,Bank and Monument,-480,-475,-554
Canning Town,East India,-480,-13,243
Lancaster Gate,Bank and Monument,-478,-532,-600
Wimbledon Park,Wimbledon,-478,365,1119
Shepherd's Bush,Bank and Monument,-477,-641,-783
Charing Cross,Paddington,-477,-513,-533
Euston Square,Aldgate,-477,-495,-507
Bank and Monument,Woolwich Arsenal,-476,-485,-509
Silver Street,Seven Sisters,-474,-368,-702
Bank and Monument,Holborn,-472,-618,-1007
Moorgate,London Bridge,-470,-520,-610
Paddington,Piccadilly Circus,-467,-510,-731
Waterloo,Regent's Park,-467,-560,-704
Brixton,King's Cross St. Pancras,-464,-505,-880
Charing Cross,Warren Street,-464,-502,-569
Canada Water,Westminster,-462,-619,-786
East Putney,Wimbledon,-462,-139,-399
Walthamstow Central,Warren Street,-453,-481,-645
Canada Water,Denmark Hill,-449,-414,-535
Dagenham East,Barking,-448,-355,-455
North Greenwich,London Bridge,-441,-521,-680
Finsbury Park,Warren Street,-440,-405,-814
Stratford,Southwark,-439,-689,-839
Highbury & Islington,Homerton,-438,-447,-508
Bank and Monument,Westferry,-435,-463,-470
North Greenwich,Waterloo,-434,-506,-599
Waterloo,Euston,-433,-728,-1190
Seven Sisters,King's Cross St. Pancras,-433,-169,1213
Canary Wharf,Southwark,-432,-519,-546
Romford,Liverpool Street,-432,-522,1374
Hornchurch,Barking,-431,-396,-456
Canada Water,West Croydon,-430,-427,-459
Waterloo,Stratford,-429,-1120,-1268
Liverpool Street,Barbican,-429,-287,-986
Stockwell,Oxford Circus,-429,-419,-719
Clapham South,Moorgate,-427,-474,-539
Canning Town,Cyprus,-427,-407,-470
London Bridge,Canning Town,-425,-572,-605
Wimbledon,Southfields,-424,-130,134
Wimbledon,Putney Bridge,-422,-361,-470
Highbury & Islington,Shoreditch High Street,-421,-277,-594
Cutty Sark,Heron Quays,-420,-488,-528
Whitechapel,Surrey Quays,-420,-438,-443
Highbury & Islington,Hackney Wick,-418,-443,-457
Blackwall,Bank and Monument,-416,-511,-537
Paddington,Charing Cross,-410,-484,-568
Shepherd's Bush,Chancery Lane,-410,-440,-516
Richmond,Hammersmith,-410,-203,-21
Tooting Bec,Bank and Monument,-409,-476,-535
Clapham Common,Moorgate,-409,-444,-494
Whitechapel,Hoxton,-407,-364,-465
London Fields,Liverpool Street,-404,-422,-763
Mudchute,Bank and Monument,-404,-545,-583
Shepherd's Bush,St. Paul's,-404,-445,-489
