station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Northfields,Finchley Central,3,0,-1
Northfields,Hendon Central,3,1,-1
Northfields,Manor House,3,0,-1
Northolt,Bow Road,3,0,-1
Northolt,Highgate,3,1,-1
Northolt,South Wimbledon,3,0,-1
Northolt,Turnpike Lane,3,0,-1
Northwick Park,Archway,3,1,-1
Northwick Park,Clapham Common,3,0,-1
Northwick Park,Turnham Green,3,1,-1
Northwood,Alperton,3,4,-1
Northwood,Clapham Common,3,0,-1
Northwood,Holloway Road,3,0,-1
Northwood,Neasden,3,2,-1
Northwood,Rayners Lane,3,2,-1
Northwood,Westbourne Park,3,1,-1
Northwood,Wood Green,3,0,-1
Northwood Hills,Parsons Green,3,1,-1
Northwood Hills,Tottenham Hale,3,0,-1
Notting Hill Gate,Bromley-by-Bow,3,-1,-1
Notting Hill Gate,Ealing Common,3,0,-1
Notting Hill Gate,East Ham,3,-1,-1
Notting Hill Gate,Harrow & Wealdstone,3,0,-1
Notting Hill Gate,Tooting Bec,3,-1,-1
Oakwood,Hampstead,3,3,-1
Oakwood,Lancaster Gate,3,2,-1
Oakwood,North Acton,3,2,-1
Old Street,East Acton,3,0,-1
Old Street,Harlesden,3,0,-1
Old Street,Plaistow,3,-1,-1
Osterley,Bermondsey,3,0,-1
Osterley,East Acton,3,3,-1
Osterley,Harrow-on-the-Hill,3,1,-1
Osterley,Kentish Town,3,1,-1
Osterley,Swiss Cottage,3,1,-1
Osterley,West Kensington,3,1,-1
Oval,Acton Town,3,0,-1
Oval,Harrow-on-the-Hill,3,-1,-1
Oval,Upton Park,3,0,-1
Oval,Westbourne Park,3,0,-1
Oxford Circus,Holloway Road,3,0,-1
Oxford Circus,Ladbroke Grove,3,0,-1
Paddington,Cockfosters,3,0,-1
Paddington,Epping,3,0,-1
Paddington,Hainault,3,-1,-1
Paddington,Sudbury Hill,3,0,-1
Paddington,Totteridge & Whetstone,3,0,-1
Park Royal,Angel,3,1,-1
Park Royal,Edgware Road,3,1,-1
Park Royal,High Street Kensington,3,3,-1
Park Royal,Tower Hill,3,1,-1
Parsons Green,East Finchley,3,0,-1
Parsons Green,East Ham,3,0,-1
Parsons Green,Greenford,3,0,-1
Parsons Green,Leytonstone,3,-1,-1
Parsons Green,Northwick Park,3,-1,-1
Perivale,Archway,3,1,-1
Perivale,Belsize Park,3,2,-1
Perivale,Oval,3,1,-1
Perivale,Tottenham Hale,3,0,-1
Perivale,Turnham Green,3,1,-1
Piccadilly Circus,Aldgate,3,0,-1
Pinner,Kilburn Park,3,1,-1
Pinner,Morden,3,1,-1
Plaistow,Acton Town,3,0,-1
Plaistow,Clapham North,3,0,-1
Plaistow,Colindale,3,0,-1
Plaistow,Harlesden,3,0,-1
Plaistow,Harrow-on-the-Hill,3,0,-1
Plaistow,Uxbridge,3,1,-1
Preston Road,Chiswick Park,3,0,-1
Preston Road,East Acton,3,1,-1
Preston Road,Stepney Green,3,0,-1
Preston Road,Stockwell,3,0,-1
Preston Road,Westbourne Park,3,1,-1
Prince Regent,Abbey Road,3,-1,-1
Prince Regent,Island Gardens,3,0,-1
Pudding Mill Lane,Woolwich Arsenal,3,4,-1
Putney Bridge,Harrow-on-the-Hill,3,0,-1
Putney Bridge,Kennington,3,0,-1
Queen's Park,Tufnell Park,3,1,-1
Queensbury,Bromley-by-Bow,3,0,-1
Queensbury,Kennington,3,0,-1
Queensbury,Maida Vale,3,1,-1
Queensbury,Southfields,3,1,-1
Queensbury,Upton Park,3,0,-1
Queensway,Chalk Farm,3,1,-1
Ravenscourt Park,Barking,3,-1,-1
Ravenscourt Park,Borough,3,-1,-1
Ravenscourt Park,Finchley Road,3,0,-1
Ravenscourt Park,Kentish Town,3,0,-1
Rayners Lane,Chorleywood,3,6,-1
Rayners Lane,Clapham North,3,0,-1
Rayners Lane,East Finchley,3,1,-1
Rayners Lane,Maida Vale,3,1,-1
Redbridge,Caledonian Road,3,1,-1
Redbridge,Parsons Green,3,1,-1
Redbridge,Putney Bridge,3,0,-1
Redbridge,Wood Green,3,0,-1
Regent's Park,Marble Arch,3,3,-1
Richmond,Heathrow Terminal 5,3,6,-1
Richmond,Plaistow,3,0,-1
Richmond,Turnpike Lane,3,0,-1
Rickmansworth,Kilburn,3,2,-1
Rickmansworth,Oval,3,0,-1
Rickmansworth,Tottenham Hale,3,0,-1
Roding Valley,Barking,3,3,-1
Roding Valley,Euston Square,3,2,-1
Roding Valley,Sloane Square,3,1,-1
Royal Victoria,Mudchute,3,0,-1
Ruislip,Bermondsey,3,0,-1
Ruislip,Mile End,3,0,-1
Ruislip,Parsons Green,3,1,-1
Ruislip Manor,Oval,3,0,-1
Ruislip Manor,Ravenscourt Park,3,1,-1
Russell Square,West Brompton,3,0,-1
Seven Sisters,Croxley,3,0,-1
Seven Sisters,Hillingdon,3,0,-1
Seven Sisters,Pinner,3,0,-1
Shenfield,Forest Gate,3,0,-1
Shepherd's Bush,Arsenal,3,-1,-1
Shepherd's Bush,Brent Cross,3,0,-1
Shepherd's Bush,Edgware,3,0,-1
Shepherd's Bush,Harringay Green Lanes,3,1,-1
Shepherd's Bush,South Kenton,3,0,-1
Shepherd's Bush Market,Tottenham Hale,3,-1,-1
Sloane Square,East Finchley,3,0,-1
Sloane Square,Hendon Central,3,0,-1
Sloane Square,Kilburn Park,3,0,-1
Sloane Square,Leytonstone,3,-1,-1
Sloane Square,Tooting Bec,3,-1,-1
Sloane Square,Uxbridge,3,0,-1
Snaresbrook,Barons Court,3,0,-1
Snaresbrook,Hyde Park Corner,3,1,-1
Snaresbrook,Wood Green,3,0,-1
South Ealing,Archway,3,1,-1
South Ealing,Clapham Common,3,0,-1
South Ealing,Stockwell,3,0,-1
South Hampstead,Acton Central,3,3,-1
South Kensington,Bow Road,3,-1,-1
South Kensington,Colindale,3,0,-1
South Kensington,East Finchley,3,0,-1
South Kensington,Leytonstone,3,-1,-1
South Kenton,Parsons Green,3,1,-1
South Kenton,Putney Bridge,3,1,-1
South Kenton,Tooting Broadway,3,0,-1
South Ruislip,Belsize Park,3,2,-1
South Ruislip,Oval,3,1,-1
South Ruislip,Ravenscourt Park,3,1,-1
South Woodford,Morden,3,1,-1
Southbury,Stamford Hill,3,1,-1
Southfields,Highgate,3,0,-1
Southfields,Hounslow Central,3,0,-1
Southfields,Hounslow East,3,0,-1
Southfields,Kenton,3,1,-1
Southgate,Hanger Lane,3,3,-1
Southgate,Park Royal,3,1,-1
Southgate,Wembley Central,3,2,-1
Southwark,Acton Town,3,-1,-1
Southwark,Tooting Bec,3,-1,-1
Southwark,Wood Lane,3,-1,-1
St. John's Wood,Latimer Road,3,1,-1
St. John's Wood,Turnham Green,3,0,-1
St. John's Wood,Wood Green,3,0,-1
Stamford Brook,Oval,3,0,-1
Stanmore,East Ham,3,1,-1
Stanmore,Latimer Road,3,1,-1
Stanmore,Maida Vale,3,1,-1
Stanmore,Manor House,3,0,-1
Stanmore,Southfields,3,2,-1
Star Lane,Tower Gateway,3,2,-1
Star Lane,Westferry,3,0,-1
Stepney Green,Belsize Park,3,1,-1
Stockwell,Debden,3,0,-1
Stockwell,Hounslow Central,3,-1,-1
Stockwell,Snaresbrook,3,-1,-1
Stockwell,West Acton,3,0,-1
Stoke Newington,Wanstead Park,3,1,-1
Stonebridge Park,Balham,3,0,-1
Stonebridge Park,Bermondsey,3,0,-1
Stonebridge Park,Borough,3,0,-1
Stonebridge Park,Harrow-on-the-Hill,3,0,-1
Stratford High Street,South Quay,3,-1,-1
Sudbury Hill,Holland Park,3,1,-1
Sudbury Hill,Mile End,3,0,-1
Sudbury Hill,Mornington Crescent,3,1,-1
Sudbury Hill,Wood Lane,3,2,-1
Sudbury Town,Tottenham Hale,3,0,-1
Swiss Cottage,Clapham South,3,0,-1
Swiss Cottage,East Ham,3,0,-1
Theobalds Grove,Cambridge Heath,3,0,-1
Theydon Bois,Edgware Road,3,1,-1
Theydon Bois,Pimlico,3,0,-1
Theydon Bois,Russell Square,3,1,-1
Tooting Bec,Arnos Grove,3,0,-1
Tooting Bec,High Barnet,3,1,-1
Tooting Bec,Mill Hill East,3,0,-1
Tooting Bec,South Ealing,3,-1,-1
Tooting Bec,Tufnell Park,3,0,-1
Tooting Broadway,Arsenal,3,-1,-1
Tooting Broadway,Becontree,3,0,-1
Tooting Broadway,Loughton,3,0,-1
Tooting Broadway,Newbury Park,3,0,-1
Tooting Broadway,Rickmansworth,3,1,-1
Tooting Broadway,Snaresbrook,3,0,-1
Tottenham Court Road,Finchley Road,3,-1,-1
Tottenham Hale,Alperton,3,0,-1
Tottenham Hale,Canons Park,3,0,-1
Tottenham Hale,Hounslow East,3,-1,-1
Tottenham Hale,West Acton,3,0,-1
Totteridge & Whetstone,East Ham,3,0,-1
Totteridge & Whetstone,Stockwell,3,0,-1
Totteridge & Whetstone,Wood Lane,3,1,-1
Tower Gateway,All Saints,3,0,-1
Tower Hill,Turnpike Lane,3,-1,-1
Tufnell Park,Harrow-on-the-Hill,3,-1,-1
Tufnell Park,Westbourne Park,3,0,-1
Tufnell Park,Wood Green,3,0,-1
Turnham Green,Bayswater,3,1,-1
Turnham Green,Colindale,3,0,-1
Turnham Green,Finchley Central,3,0,-1
Turnham Green,Hendon Central,3,0,-1
Turnham Green,Osterley,3,0,-1
Turnpike Lane,Kensal Green,3,1,-1
Turnpike Lane,Northwood,3,0,-1
Turnpike Lane,Stanmore,3,0,-1
Upminster,Edgware Road,3,1,-1
Upminster,Leicester Square,3,1,-1
Upminster Bridge,Earl's Court,3,1,-1
Upminster Bridge,High Street Kensington,3,0,-1
Upminster Bridge,White City,3,1,-1
Upney,Barons Court,3,0,-1
Upney,Hyde Park Corner,3,0,-1
Upney,North Acton,3,0,-1
Upney,Oval,3,0,-1
Upton Park,Ealing Common,3,-1,-1
Upton Park,Southgate,3,0,-1
Upton Park,Tufnell Park,3,0,-1
Upton Park,Willesden Green,3,0,-1
Uxbridge,Bromley-by-Bow,3,0,-1
Uxbridge,Greenford,3,3,-1
Uxbridge,Harrow & Wealdstone,3,4,-1
Uxbridge,Latimer Road,3,2,-1
Uxbridge,Leytonstone,3,1,-1
Uxbridge,Southfields,3,3,-1
Uxbridge,Warwick Avenue,3,1,-1
Vauxhall,North Wembley,3,0,-1
Vauxhall,Preston Road,3,-1,-1
Vauxhall,South Harrow,3,-1,-1
Vauxhall,Upney,3,-1,-1
Victoria,Croxley,3,-1,-1
Victoria,Hillingdon,3,-1,-1
Victoria,Redbridge,3,-1,-1
Victoria,Ruislip,3,-1,-1
Walthamstow Central,Sudbury Hill,3,0,-1
Wanstead,Caledonian Road,3,1,-1
Wanstead,Clapham Common,3,0,-1
Wanstead,North Acton,3,1,-1
Wanstead,Wood Green,3,0,-1
Wanstead,Woodford,3,5,-1
Wanstead Park,Chingford,3,1,-1
Wapping,Forest Hill,3,-1,-1
Warren Street,Holloway Road,3,0,-1
Warwick Avenue,East Putney,3,0,-1
Warwick Avenue,Holloway Road,3,0,-1
Waterloo,Amersham,3,-1,-1
Waterloo,Chigwell,3,-1,-1
Watford,Belsize Park,3,2,-1
Watford,Park Royal,3,3,-1
Watford,Queen's Park,3,2,-1
Watford Junction,Kew Gardens,3,-1,-1
Wembley Central,Brondesbury,3,3,-1
Wembley Central,Clapham Common,3,0,-1
Wembley Central,Holloway Road,3,0,-1
Wembley Central,Homerton,3,0,-1
Wembley Central,Wood Green,3,0,-1
Wembley Park,Arsenal,3,0,-1
Wembley Park,Gants Hill,3,0,-1
Wembley Park,Heathrow Terminal 5,3,3,-1
Wembley Park,Wimbledon Park,3,0,-1
West Acton,Barking,3,0,-1
West Acton,Borough,3,0,-1
West Acton,Mornington Crescent,3,0,-1
West Acton,Putney Bridge,3,1,-1
West Acton,Tooting Broadway,3,0,-1
West Brompton,Caledonian Road & Barnsbury,3,0,-1
West Brompton,Chalk Farm,3,0,-1
West Brompton,Kennington,3,0,-1
West Finchley,Holland Park,3,0,-1
West Finchley,Lancaster Gate,3,1,-1
West Finchley,Queensway,3,0,-1
West Ham,Stonebridge Park,3,0,-1
West Hampstead,Eastcote,3,-1,-1
West Hampstead,Heathrow Terminal 5,3,1,-1
West Hampstead,Osterley,3,0,-1
West Harrow,Bethnal Green,3,0,-1
West Harrow,Cannon Street,3,0,-1
West Harrow,South Harrow,3,8,-1
West India Quay,Westferry,3,0,-1
West Kensington,Caledonian Road,3,0,-1
West Kensington,Lambeth North,3,-1,-1
West Ruislip,Borough,3,0,-1
West Ruislip,Mornington Crescent,3,1,-1
West Ruislip,Putney Bridge,3,2,-1
West Ruislip,Tooting Broadway,3,1,-1
West Silvertown,Devons Road,3,0,-1
West Silvertown,West India Quay,3,-1,-1
Westbourne Park,Clapham Common,3,0,-1
Westbourne Park,Hampstead,3,1,-1
Westbourne Park,Stamford Brook,3,1,-1
Westminster,Brixton,3,1,-1
Westminster,Mornington Crescent,3,0,-1
White City,Hampstead,3,1,-1
White City,Uxbridge,3,1,-1
Whitechapel,Northfields,3,-1,-1
Willesden Green,Arnos Grove,3,0,-1
Willesden Green,Northfields,3,0,-1
Willesden Green,Rickmansworth,3,2,-1
Willesden Junction,Morden,3,0,-1
Willesden Junction,Turnpike Lane,3,0,-1
Wimbledon,Osterley,3,1,-1
Wimbledon Park,East Acton,3,1,-1
Wimbledon Park,Swiss Cottage,3,0,-1
Wimbledon Park,Tottenham Hale,3,-1,-1
Wood Green,Burnt Oak,3,0,-1
Wood Green,Kensal Green,3,1,-1
Wood Green,Snaresbrook,3,0,-1
Wood Green,Stanmore,3,1,-1
Wood Green,Stonebridge Park,3,2,-1
Wood Lane,Acton Town,3,1,-1
Wood Lane,Brixton,3,1,-1
Wood Lane,Queen's Park,3,1,-1
Woodford,Dagenham East,3,0,-1
Woodford,Dollis Hill,3,0,-1
Woodford,Greenford,3,1,-1
Woodford,Harrow & Wealdstone,3,2,-1
Woodford,Neasden,3,0,-1
Woodford,Southgate,3,1,-1
Woodside Park,Bow Road,3,0,-1
Woodside Park,Heathrow Terminals 2 & 3,3,2,-1
Woodside Park,Northwick Park,3,0,-1
Woodside Park,Southfields,3,1,-1
Woodside Park,Tooting Bec,3,-1,-1
Abbey Road,Custom House,3,1,0
Abbey Road,Lewisham,3,1,0
Acton Central,Bushey,3,1,0
Acton Central,Edmonton Green,3,0,0
Acton Central,South Kenton,3,1,0
Acton Central,White Hart Lane,3,0,0
Acton Town,Colliers Wood,3,0,0
Acton Town,Dollis Hill,3,1,0
Acton Town,Kingsbury,3,1,0
Aldgate,Barons Court,3,0,0
Aldgate,Clapham North,3,0,0
Aldgate,Ealing Broadway,3,0,0
Aldgate,East Ham,3,0,0
Aldgate,Lancaster Gate,3,1,0
Aldgate,Leytonstone,3,0,0
Aldgate,Parsons Green,3,0,0
Aldgate,Putney Bridge,3,0,0
Aldgate,Queensway,3,0,0
Aldgate,Richmond,3,1,0
Aldgate,Upton Park,3,0,0
Aldgate East,Kensington,3,0,0
Aldgate East,Manor House,3,0,0
Aldgate East,Wood Green,3,0,0
Alperton,East Ham,3,1,0
Alperton,Northwood,3,2,0
Alperton,Stockwell,3,1,0
Alperton,Wood Green,3,1,0
Amersham,Clapham Common,3,1,0
Amersham,Holloway Road,3,1,0
Amersham,Oval,3,1,0
Amersham,Park Royal,3,3,0
Amersham,Putney Bridge,3,2,0
Amersham,Queen's Park,3,2,0
Amersham,Wood Green,3,1,0
Angel,Hanger Lane,3,1,0
Angel,Kilburn Park,3,1,0
Angel,Leyton,3,0,0
Angel,Southfields,3,1,0
Angel,Wembley Central,3,1,0
Archway,Alperton,3,1,0
Archway,Arsenal,3,0,0
Archway,Boston Manor,3,1,0
Archway,Dagenham Heathway,3,1,0
Archway,Hounslow East,3,0,0
Archway,Kensal Green,3,2,0
Archway,Kew Gardens,3,1,0
Archway,Northfields,3,0,0
Archway,Northwood,3,1,0
Archway,South Woodford,3,0,0
Archway,Upminster,3,0,0
Arnos Grove,Dagenham Heathway,3,1,0
Arnos Grove,Tooting Bec,3,0,0
Arnos Grove,Willesden Green,3,1,0
Arsenal,Clapham Common,3,1,0
Arsenal,Kilburn,3,1,0
Arsenal,Stockwell,3,0,0
Arsenal,Warwick Avenue,3,1,0
Baker Street,Hatton Cross,3,0,0
Baker Street,High Barnet,3,1,0
Baker Street,Kenton,3,1,0
Baker Street,Kew Gardens,3,1,0
Baker Street,Mill Hill East,3,0,0
Baker Street,South Ealing,3,0,0
Baker Street,Wimbledon Park,3,0,0
Baker Street,Woodside Park,3,0,0
Balham,Becontree,3,1,0
Balham,Hornchurch,3,0,0
Balham,Moor Park,3,1,0
Balham,North Wembley,3,1,0
Balham,Oakwood,3,1,0
Balham,Preston Road,3,0,0
Balham,Queensbury,3,1,0
Balham,South Harrow,3,0,0
Bank and Monument,Chalfont & Latimer,3,0,0
Bank and Monument,Cockfosters,3,0,0
Bank and Monument,Eastcote,3,0,0
Bank and Monument,Moor Park,3,0,0
Bank and Monument,Pinner,3,0,0
Bank and Monument,Ruislip Manor,3,0,0
Bank and Monument,South Harrow,3,0,0
Bank and Monument,South Kenton,3,0,0
Bank and Monument,Sudbury Hill,3,0,0
Barbican,Kentish Town,3,1,0
Barking,Barkingside,3,1,0
Barking,Canons Park,3,1,0
Barking,Heathrow Terminal 4,3,2,0
Barking,North Wembley,3,1,0
Barking,Northwood Hills,3,1,0
Barking,Preston Road,3,0,0
Barking,Queensbury,3,1,0
Barking,Rayners Lane,3,0,0
Barking,Rectory Road,3,1,0
Barking,Watford High Street,3,2,0
Barkingside,Holland Park,3,1,0
Barkingside,Kilburn,3,1,0
Barkingside,Parsons Green,3,1,0
Barkingside,Putney Bridge,3,1,0
Barkingside,Queen's Park,3,1,0
Barons Court,Dollis Hill,3,0,0
Barons Court,Greenford,3,1,0
Barons Court,Leyton,3,0,0
Barons Court,Morden,3,1,0
Barons Court,Plaistow,3,0,0
Barons Court,Upton Park,3,0,0
Barons Court,West Acton,3,0,0
Barons Court,Willesden Green,3,0,0
Barons Court,Wimbledon Park,3,1,0
Bayswater,Balham,3,0,0
Bayswater,Bermondsey,3,1,0
Bayswater,Harlesden,3,1,0
Bayswater,Kilburn,3,1,0
Bayswater,Latimer Road,3,2,0
Bayswater,Mile End,3,0,0
Bayswater,Oval,3,1,0
Bayswater,Tottenham Hale,3,0,0
Bayswater,Walthamstow Central,3,0,0
Beckton Park,Beckton,3,8,0
Becontree,Clapham South,3,1,0
Becontree,East Acton,3,1,0
Becontree,East Finchley,3,1,0
Becontree,Hanger Lane,3,2,0
Becontree,Morden,3,1,0
Becontree,South Wimbledon,3,0,0
Becontree,Warwick Avenue,3,1,0
Becontree,Wood Lane,3,1,0
Belsize Park,Bow Road,3,1,0
Belsize Park,Bromley-by-Bow,3,1,0
Belsize Park,East Acton,3,1,0
Belsize Park,East Ham,3,1,0
Belsize Park,Hanger Lane,3,1,0
Belsize Park,Latimer Road,3,1,0
Belsize Park,Leyton,3,0,0
Belsize Park,Leytonstone,3,0,0
Belsize Park,Maida Vale,3,1,0
Belsize Park,Royal Oak,3,1,0
Belsize Park,Southfields,3,1,0
Belsize Park,Turnham Green,3,1,0
Belsize Park,Upton Park,3,0,0
Belsize Park,West Kensington,3,1,0
Bermondsey,Bayswater,3,0,0
Bermondsey,Wembley Central,3,1,0
Bethnal Green,Arsenal,3,0,0
Bethnal Green,Ealing Common,3,0,0
Bethnal Green,Kingsbury,3,0,0
Bethnal Green,Stamford Brook,3,0,0
Blackfriars,Colliers Wood,3,0,0
Blackfriars,Morden,3,0,0
Blackfriars,Northwick Park,3,0,0
Blackfriars,Tufnell Park,3,0,0
Blackfriars,Turnpike Lane,3,0,0
Blackfriars,Wembley Central,3,1,0
Blackfriars,Willesden Green,3,0,0
Blackhorse Road,Chorleywood,3,1,0
Blackhorse Road,North Wembley,3,1,0
Blackhorse Road,Rayners Lane,3,0,0
Blackwall,Abbey Road,3,0,0
Bond Street,Balham,3,0,0
Bond Street,Belsize Park,3,1,0
Bond Street,Chalk Farm,3,1,0
Bond Street,Holloway Road,3,0,0
Bond Street,Kensington,3,1,0
Bond Street,Ladbroke Grove,3,1,0
Bond Street,Lambeth North,3,0,0
Bond Street,Wimbledon,3,1,0
Borough,St. John's Wood,3,0,0
Borough,West Hampstead,3,0,0
Boston Manor,Kilburn,3,1,0
Boston Manor,Mile End,3,1,0
Boston Manor,Swiss Cottage,3,1,0
Boston Manor,Tottenham Hale,3,0,0
Bounds Green,Colliers Wood,3,0,0
Bounds Green,Edgware,3,2,0
Bounds Green,Gants Hill,3,1,0
Bounds Green,Northwood,3,1,0
Bounds Green,South Woodford,3,1,0
Bounds Green,Woodford,3,1,0
Bow Road,Highgate,3,1,0
Bow Road,Morden,3,1,0
Bow Road,Snaresbrook,3,1,0
Bow Road,Tooting Bec,3,0,0
Bow Road,Turnpike Lane,3,0,0
Bow Road,Woodford,3,1,0
Brent Cross,Finchley Central,3,1,0
Brent Cross,Holland Park,3,1,0
Brent Cross,Stepney Green,3,1,0
Brent Cross,Stockwell,3,1,0
Brent Cross,Wood Green,3,1,0
Brixton,Chigwell,3,0,0
Brixton,West Ruislip,3,1,0
Bromley-by-Bow,Clapham North,3,0,0
Bromley-by-Bow,Clapham South,3,1,0
Bromley-by-Bow,Golders Green,3,2,0
Bromley-by-Bow,Harrow-on-the-Hill,3,0,0
Bromley-by-Bow,Kilburn,3,1,0
Bromley-by-Bow,Manor House,3,1,0
Brondesbury,Bruce Grove,3,0,0
Brondesbury,Crystal Palace,3,0,0
Brondesbury,Wanstead Park,3,0,0
Brondesbury Park,Kenton,3,1,0
Brondesbury Park,Walthamstow Queens Road,3,1,0
Bruce Grove,Kew Gardens,3,0,0
Buckhurst Hill,Chalk Farm,3,2,0
Buckhurst Hill,Colindale,3,1,0
Buckhurst Hill,Harrow-on-the-Hill,3,1,0
Buckhurst Hill,Hendon Central,3,2,0
Buckhurst Hill,Wanstead,3,2,0
Burnt Oak,Colliers Wood,3,0,0
Burnt Oak,Dagenham Heathway,3,0,0
Burnt Oak,Plaistow,3,0,0
Burnt Oak,Woodside Park,3,1,0
Bushey,Dalston Kingsland,3,0,0
Bushey,Hackney Central,3,0,0
Caledonian Road,East Finchley,3,1,0
Caledonian Road,Finchley Central,3,1,0
Caledonian Road,Leyton,3,0,0
Caledonian Road,Leytonstone,3,0,0
Caledonian Road,West Kensington,3,1,0
Camden Road,Bruce Grove,3,0,0
Camden Road,Enfield Town,3,0,0
Camden Road,Kenton,3,1,0
Camden Road,Queens Road Peckham,3,1,0
Camden Road,Stoke Newington,3,1,0
Camden Road,Watford Junction,3,2,0
Camden Town,East Ham,3,0,0
Camden Town,Harrow-on-the-Hill,3,0,0
Camden Town,Kilburn Park,3,1,0
Camden Town,Leyton,3,0,0
Camden Town,Leytonstone,3,0,0
Camden Town,Maida Vale,3,1,0
Canada Water,Chigwell,3,0,0
Canada Water,Croxley,3,0,0
Canada Water,Hillingdon,3,0,0
Canada Water,Ickenham,3,0,0
Canada Water,Ruislip,3,0,0
Canada Water,Sudbury Town,3,0,0
Canada Water,West Ruislip,3,1,0
Canary Wharf,Beckton Park,3,1,0
Canary Wharf,Chorleywood,3,0,0
Canary Wharf,Elm Park,3,0,0
Canary Wharf,Moor Park,3,0,0
Canary Wharf,North Ealing,3,0,0
Canary Wharf,North Wembley,3,0,0
Canary Wharf,Northwood Hills,3,0,0
Canary Wharf,Oakwood,3,0,0
Canary Wharf,Preston Road,3,0,0
Canary Wharf,Redbridge,3,0,0
Canning Town,Hillingdon,3,0,0
Canning Town,Ickenham,3,0,0
Canning Town,Ruislip,3,0,0
Canning Town,Sudbury Hill,3,0,0
Canning Town,Sudbury Town,3,0,0
Cannon Street,Blackhorse Road,3,0,0
Cannon Street,Chalk Farm,3,0,0
Cannon Street,Clapham South,3,0,0
Cannon Street,Hampstead,3,0,0
Cannon Street,Holland Park,3,0,0
Cannon Street,Kensington,3,0,0
Cannon Street,Kilburn,3,0,0
Cannon Street,Queensway,3,0,0
Canonbury,Highams Park,3,0,0
Canons Park,Clapham North,3,1,0
Canons Park,Kennington,3,1,0
Canons Park,Leyton,3,1,0
Canons Park,Turnpike Lane,3,1,0
Canons Park,Upton Park,3,1,0
Chalfont & Latimer,Oval,3,1,0
Chalfont & Latimer,Park Royal,3,2,0
Chalk Farm,Bromley-by-Bow,3,0,0
Chalk Farm,Harrow-on-the-Hill,3,0,0
Chalk Farm,Manor House,3,1,0
Chalk Farm,Uxbridge,3,1,0
Chalk Farm,Warwick Avenue,3,1,0
Chalk Farm,West Kensington,3,1,0
Chalk Farm,Westbourne Park,3,1,0
Chalk Farm,Wood Lane,3,1,0
Chancery Lane,Kentish Town,3,1,0
Charing Cross,Bayswater,3,0,0
Charing Cross,Plaistow,3,0,0
Charing Cross,Southfields,3,0,0
Chesham,Ladbroke Grove,3,2,0
Chesham,Park Royal,3,3,0
Chesham,Queen's Park,3,2,0
Chesham,Tottenham Hale,3,1,0
Cheshunt,Gospel Oak,3,2,0
Cheshunt,Homerton,3,1,0
Cheshunt,Kensington,3,1,0
Chigwell,Camden Town,3,2,0
Chigwell,Hainault,3,10,0
Chiswick Park,East Acton,3,3,0
Chiswick Park,Hanger Lane,3,4,0
Chiswick Park,Harrow-on-the-Hill,3,1,0
Chiswick Park,Mile End,3,1,0
Chiswick Park,Walthamstow Central,3,1,0
Chorleywood,Blackhorse Road,3,1,0
Chorleywood,Kilburn,3,2,0
Chorleywood,Queen's Park,3,2,0
Clapham Common,Boston Manor,3,1,0
Clapham Common,Bounds Green,3,0,0
Clapham Common,Dagenham Heathway,3,0,0
Clapham Common,Dollis Hill,3,1,0
Clapham Common,Harrow & Wealdstone,3,1,0
Clapham Common,Kew Gardens,3,1,0
Clapham Common,Kingsbury,3,0,0
Clapham Common,Northfields,3,0,0
Clapham Common,Stonebridge Park,3,1,0
Clapham North,Bow Road,3,1,0
Clapham North,Chiswick Park,3,1,0
Clapham North,East Ham,3,1,0
Clapham North,Harrow-on-the-Hill,3,0,0
Clapham North,Leyton,3,0,0
Clapham North,Leytonstone,3,1,0
Clapham North,Manor House,3,0,0
Clapham South,Arnos Grove,3,1,0
Clapham South,Brent Cross,3,1,0
Clapham South,Burnt Oak,3,0,0
Clapham South,Dagenham East,3,0,0
Clapham South,Gants Hill,3,1,0
Clapham South,Hounslow Central,3,0,0
Clapham South,Loughton,3,1,0
Clapham South,Northolt,3,1,0
Clapham South,Osterley,3,0,0
Clapham South,South Woodford,3,1,0
Clapham South,West Acton,3,1,0
Clapham South,Woodside Park,3,1,0
Clapton,Woodgrange Park,3,1,0
Cockfosters,Archway,3,2,0
Cockfosters,Balham,3,1,0
Cockfosters,Ealing Broadway,3,3,0
Cockfosters,Tooting Broadway,3,1,0
Colindale,Arsenal,3,0,0
Colindale,Dagenham East,3,0,0
Colindale,Debden,3,1,0
Colindale,Goldhawk Road,3,1,0
Colindale,Heathrow Terminal 4,3,1,0
Colindale,Heathrow Terminal 5,3,2,0
Colindale,Loughton,3,1,0
Colindale,Newbury Park,3,0,0
Colindale,Northolt,3,1,0
Colindale,Shepherd's Bush Market,3,1,0
Colindale,Snaresbrook,3,0,0
Colindale,Woodford,3,1,0
Colliers Wood,Arnos Grove,3,1,0
Colliers Wood,Debden,3,1,0
Colliers Wood,Hounslow East,3,0,0
Colliers Wood,Loughton,3,1,0
Colliers Wood,Perivale,3,1,0
Colliers Wood,Stanmore,3,1,0
Colliers Wood,Woodford,3,1,0
Colliers Wood,Woodside Park,3,1,0
Covent Garden,Euston Square,3,1,0
Covent Garden,Mansion House,3,1,0
Covent Garden,Marble Arch,3,1,0
Covent Garden,Whitechapel,3,1,0
Crossharbour,Abbey Road,3,0,0
